transaction_date,transaction_barcode,item_number,description,description2,combined_description,item_unit_price
2023-01-24,21133401101982301241257,545345,KS PISTACHIO,C13T6H4 P312 SL300,KS PISTACHIO C13T6H4 P312 SL300,15.99
2023-01-24,21133401101982301241257,1057076,TRU CHKN STR,20/2-16 OZ T6H4 SL55,TRU CHKN STR 20/2-16 OZ T6H4 SL55,14.69
2023-01-24,21133401101982301241257,295875,/1057076,,,0
2023-01-24,21133401101982301241257,1461056,BABY CUKE,,,6.99
2023-01-24,21133401101982301241257,43221,ATL COD,FILLET,ATL COD FILLET,9.99
2023-01-24,21133401101982301241257,527705,A&H BFSALAMI,KOSHER 2-PK   T6H8   SL70,A&H BFSALAMI KOSHER 2-PK   T6H8   SL70,12.59
2023-01-24,21133401101982301241257,993449,ORGANIC PSTA,ORGANIC PASTA SL365  P144,ORGANIC PSTA ORGANIC PASTA SL365  P144,9.99
2023-01-24,21133401101982301241257,331100,POTATOES,2.27 KG / 5 LB,POTATOES 2.27 KG / 5 LB,8.29
2023-01-24,21133401101982301241257,938492,KS KETTLE,HMLYN SLT P120 T40H3,KS KETTLE HMLYN SLT P120 T40H3,5.79
2023-01-24,21133401101982301241257,1142830,ORG MEDITERR,,,8.49
2023-01-24,21133401101982301241257,21046,TOMATO MEDLE,,,6.69
2023-01-24,21133401101982301241257,7859,SMOKD SALMON,FOPPEN SL28 T8H5,SMOKD SALMON FOPPEN SL28 T8H5,10.99
2023-01-24,21133401101982301241257,757263,CHEX MIX,T50H3  P150 SL149,CHEX MIX T50H3  P150 SL149,7.39
2023-01-24,21133401101982301241257,295835,/757263,,,0
2023-01-24,21133401101982301241257,5720,HH STRAW,795 G / 1.75 LB,HH STRAW 795 G / 1.75 LB,10.99
2023-01-24,21133401101982301241257,2251987,ORG HUMMUS,34OZ          T8H6 SL50,ORG HUMMUS 34OZ          T8H6 SL50,5.99
2023-01-24,21133401101982301241257,782796,***KSWTR40PK,P48=SE   P56=PR,***KSWTR40PK P48=SE   P56=PR,3.99
2024-11-02,21133401004372411021616,1364689,KS ORG WH MK,3/64 SL30 T33H4 P132,KS ORG WH MK 3/64 SL30 T33H4 P132,10.47
2024-11-02,21133401004372411021616,47825,GREEN GRAPES,1.36 KG / 3 LB,GREEN GRAPES 1.36 KG / 3 LB,6.99
2024-11-02,21133401004372411021616,8370,ORG MEDITERR,2PK,ORG MEDITERR 2PK,8.99
2024-11-02,21133401004372411021616,1773119,**CHARMIN**,30/213 SHEET 835SQFT P30,**CHARMIN** 30/213 SHEET 835SQFT P30,29.99
2024-11-02,21133401004372411021616,22967,ORGNC BS THG,FRESH SADDLEPACK,ORGNC BS THG FRESH SADDLEPACK,5.99
2024-11-02,21133401004372411021616,637598,KS CAGE FREE,SL21 T20H18 P360/P300,KS CAGE FREE SL21 T20H18 P360/P300,5.69
2024-11-02,21133401004372411021616,1391546,BAGEL CHIPS,SCHWARTZ 425G P324 SL90,BAGEL CHIPS SCHWARTZ 425G P324 SL90,7.99
2024-11-02,21133401004372411021616,757263,CHEX MIX,T50H3  P150 SL149,CHEX MIX T50H3  P150 SL149,6.99
2022-12-15,21133401101842212151315,1461056,BABY CUKE,,,5.99
2022-12-15,21133401101842212151315,7859,SMOKD SALMON,FOPPEN SL28 T8H5,SMOKD SALMON FOPPEN SL28 T8H5,10.99
2022-12-15,21133401101842212151315,202193,SWEET MINI,680 G / 1.5 LB,SWEET MINI 680 G / 1.5 LB,3.99
2022-12-15,21133401101842212151315,21046,TOMATO MEDLE,,,6.69
2022-12-15,21133401101842212151315,1126125,PULL-UPSPLUS,BOY/GIRL P40,PULL-UPSPLUS BOY/GIRL P40,41.99
2022-12-15,21133401101842212151315,289860,/1126125,,,0
2022-12-15,21133401101842212151315,1364689,KS ORG WH MK,3/64 SL30 T33H4 P132,KS ORG WH MK 3/64 SL30 T33H4 P132,11.49
2022-12-15,21133401101842212151315,782796,***KSWTR40PK,P48=SE   P56=PR,***KSWTR40PK P48=SE   P56=PR,4.29
2022-12-15,21133401101842212151315,30548,ORGANIC DRUM,SADDLEPACK,ORGANIC DRUM SADDLEPACK,1.99
2022-12-15,21133401101842212151315,703381,CHEDDAR SLCS,T10H5  SL120,CHEDDAR SLCS T10H5  SL120,7.99
2022-12-15,21133401101842212151315,1290439,KS NUTBUTTER,765G T10H6 P720,KS NUTBUTTER 765G T10H6 P720,6.99
2022-12-15,21133401101842212151315,1306598,FREE RNG XL,GRADE A T20H18 P360 SL23,FREE RNG XL GRADE A T20H18 P360 SL23,7.59
2022-12-15,21133401101842212151315,1060788,PRETZEL CRSP,P176 T44H4 SL210,PRETZEL CRSP P176 T44H4 SL210,8.69
2022-12-15,21133401101842212151315,289947,/1060788,,,0
2023-11-13,21133400701852311131401,45694,BAGUETTE,2 PACK,BAGUETTE 2 PACK,5.99
2023-11-13,21133400701852311131401,782796,***KSWTR40PK,P48=SE   P56=PR,***KSWTR40PK P48=SE   P56=PR,3.99
2023-11-13,21133400701852311131401,427381,KS ORG EGGS,GRADE AA  P360/300  SL26,KS ORG EGGS GRADE AA  P360/300  SL26,7.49
2023-11-13,21133400701852311131401,384962,KS U/S QTRS,TE9X5 SL90,KS U/S QTRS TE9X5 SL90,13.99
2023-11-13,21133400701852311131401,2619,ORG BANANAS,3 LB / 1.36 KG,ORG BANANAS 3 LB / 1.36 KG,1.99
2023-11-13,21133400701852311131401,5276,RED GRAPES,1.36 KG / 3 LB,RED GRAPES 1.36 KG / 3 LB,7.49
2023-11-13,21133400701852311131401,568915,ORG CUCUMBER,,,5.99
2023-11-13,21133400701852311131401,1126125,PULL-UPSPLUS,BOY/GIRL P40,PULL-UPSPLUS BOY/GIRL P40,41.99
2023-11-13,21133400701852311131401,21046,TOMATO MEDLE,,,6.59
2023-11-13,21133400701852311131401,1142830,ORG MEDITERR,,,7.99
2023-11-13,21133400701852311131401,8297,MEX STR CORN,2PK,MEX STR CORN 2PK,7.99
2023-11-13,21133400701852311131401,1364689,KS ORG WH MK,3/64 SL30 T33H4 P132,KS ORG WH MK 3/64 SL30 T33H4 P132,11.99
2023-11-13,21133400701852311131401,647465,AVOCADOS,6 COUNT,AVOCADOS 6 COUNT,6.29
2025-05-31,21133422600432505311134,1830626,LEGO ROSES,P840 FY24,LEGO ROSES P840 FY24,18.99
2024-12-07,21133400800052412071006,1448382,CAKE-VANILLA,VANILLA CHEESECAKE MOUSSE,CAKE-VANILLA VANILLA CHEESECAKE MOUSSE,15.99
2024-12-07,21133400800052412071006,1221092,ARTISAN ROLL,12 COUNT,ARTISAN ROLL 12 COUNT,5.99
2024-12-07,21133400800052412071006,1298989,CANDY SNAP,3LB SEEDLESS,CANDY SNAP 3LB SEEDLESS,8.99
2024-12-07,21133400800052412071006,1026583,SKINNYPOP 28,T8H7 P56 SL110,SKINNYPOP 28 T8H7 P56 SL110,13.99
2024-12-07,21133400800052412071006,1162288,KS ORG EVOO,EV OLIVE OIL 1L SL340P672,KS ORG EVOO EV OLIVE OIL 1L SL340P672,17.69
2024-12-07,21133400800052412071006,17767,KS COFFEE,1.36K GROUND P252,KS COFFEE 1.36K GROUND P252,14.99
2024-12-07,21133400800052412071006,5938,POTATOES,4.54 KG / 10 LB,POTATOES 4.54 KG / 10 LB,5.99
2024-12-07,21133400800052412071006,3806,4LB SNPDRGON,,,5.99
2024-12-07,21133400800052412071006,61576,SWEET POTATO,5 LBS,SWEET POTATO 5 LBS,4.99
2024-12-07,21133400800052412071006,947880,HF NAT TRKEY,T6H4P216  SL30,HF NAT TRKEY T6H4P216  SL30,12.89
2024-12-07,21133400800052412071006,7907,HONEYNUTSQSH,,,5.99
2024-12-07,21133400800052412071006,1364689,KS ORG WH MK,3/64 SL30 T33H4 P132,KS ORG WH MK 3/64 SL30 T33H4 P132,10.47
2024-12-07,21133400800052412071006,21046,TOMATO MEDLE,,,6.59
2023-04-27,21133401104052304271742,427381,KS ORG EGGS,GRADE AA  P360/300  SL26,KS ORG EGGS GRADE AA  P360/300  SL26,7.89
2023-04-27,21133401104052304271742,692731,KS ORG EVOO,SL365          P240/P320,KS ORG EVOO SL365          P240/P320,14.99
2023-04-27,21133401104052304271742,2619,ORG BANANAS,3 LB / 1.36 KG,ORG BANANAS 3 LB / 1.36 KG,2.39
2023-04-27,21133401104052304271742,1150189,ORG SKINYPOP,T34H3 P102 SL110,ORG SKINYPOP T34H3 P102 SL110,7.49
2023-04-27,21133401104052304271742,45694,BAGUETTE,2 PACK,BAGUETTE 2 PACK,5.99
2023-04-27,21133401104052304271742,4102,"8"" TORTILLAS",SL10  70OZ,"8"" TORTILLAS SL10  70OZ",5.99
2023-04-27,21133401104052304271742,106173,CHKN SAUSAGE,12/3 LBS    9T5H    SL90,CHKN SAUSAGE 12/3 LBS    9T5H    SL90,14.99
2023-09-29,21133400700362309291259,2619,ORG BANANAS,3 LB / 1.36 KG,ORG BANANAS 3 LB / 1.36 KG,1.99
2023-09-29,21133400700362309291259,36886,ORGANIC GT,,,19.99
2023-09-29,21133400700362309291259,47825,GREEN GRAPES,1.36 KG / 3 LB,GREEN GRAPES 1.36 KG / 3 LB,6.49
2023-09-29,21133400700362309291259,106173,CHKN SAUSAGE,12/3 LBS    9T5H    SL90,CHKN SAUSAGE 12/3 LBS    9T5H    SL90,14.99
2023-09-29,21133400700362309291259,1267000,KS SALMON,SL30 CHILEAN SLMN 10X5,KS SALMON SL30 CHILEAN SLMN 10X5,23.99
2023-09-29,21133400700362309291259,1231917,ROJO CORN,12/32 OZ   T8H7   SL45,ROJO CORN 12/32 OZ   T8H7   SL45,8.89
2023-09-29,21133400700362309291259,703381,CHEDDAR SLCS,T10H5  SL120,CHEDDAR SLCS T10H5  SL120,7.99
2023-09-29,21133400700362309291259,993207,BARLEY SOUP,8/2-32 OZ    8T5H    SL45,BARLEY SOUP 8/2-32 OZ    8T5H    SL45,11.99
2023-09-29,21133400700362309291259,60357,MIXED PEPPER,6-PACK,MIXED PEPPER 6-PACK,6.69
2023-09-29,21133400700362309291259,36494,PERCH FILLET,FILLET,PERCH FILLET FILLET,5.99
2023-09-29,21133400700362309291259,568915,ORG CUCUMBER,,,5.99
2023-09-29,21133400700362309291259,21046,TOMATO MEDLE,,,6.59
2023-09-29,21133400700362309291259,1266604,647 ITALIAN,LOW CARB BREAD,647 ITALIAN LOW CARB BREAD,6.69
2023-09-29,21133400700362309291259,1726318,SALMON SUSHI,HANA SL1D 30C 4T2H 240P,SALMON SUSHI HANA SL1D 30C 4T2H 240P,16.79
2023-09-29,21133400700362309291259,30548,ORGANIC DRUM,SADDLEPACK,ORGANIC DRUM SADDLEPACK,1.99
2023-09-29,21133400700362309291259,633561,KS DICED TOM,P240,KS DICED TOM P240,7.99
2023-09-29,21133400700362309291259,782796,***KSWTR40PK,P48=SE   P56=PR,***KSWTR40PK P48=SE   P56=PR,3.99
2023-09-29,21133400700362309291259,8297,MEX STR CORN,2PK,MEX STR CORN 2PK,7.99
2023-09-29,21133400700362309291259,983491,CRUNCHY BUTR,CRUNCHY TX480  P600 SL365,CRUNCHY BUTR CRUNCHY TX480  P600 SL365,14.99
2023-09-29,21133400700362309291259,18600,MANDARINS,2.27 KG / 5 LBS,MANDARINS 2.27 KG / 5 LBS,7.39
2023-09-29,21133400700362309291259,5850,SWEETKALEDUO,2 X 14 OZ,SWEETKALEDUO 2 X 14 OZ,3.99
2023-09-29,21133400700362309291259,833684,KS TORT CHIP,P96 T32H3   SL120,KS TORT CHIP P96 T32H3   SL120,6.79
2023-09-29,21133400700362309291259,1060788,PRETZEL CRSP,P176 T44H4 SL210,PRETZEL CRSP P176 T44H4 SL210,8.99
2023-09-29,21133400700362309291259,1136340,ORG DIS APPL,GALA,ORG DIS APPL GALA,4.49
2023-09-29,21133400700362309291259,8258,ASIAN CASHEW,2PK,ASIAN CASHEW 2PK,6.99
2023-09-29,21133400700362309291259,1263833,D&W ORG TURK,C=14 4T11H SL=35,D&W ORG TURK C=14 4T11H SL=35,18.99
2023-09-29,21133400700362309291259,647465,AVOCADOS,6 COUNT,AVOCADOS 6 COUNT,6.59
2023-09-29,21133400700362309291259,26802,CRUMBLD FETA,LACTALIS T6H6 SL60,CRUMBLD FETA LACTALIS T6H6 SL60,7.59
2023-09-29,21133400700362309291259,1258564,BEEFSTICKS,P360 T6H4 28/.5OX SL300,BEEFSTICKS P360 T6H4 28/.5OX SL300,16.79
2023-09-29,21133400700362309291259,310576,/1258564,,,0
2023-09-29,21133400700362309291259,45694,BAGUETTE,2 PACK,BAGUETTE 2 PACK,5.99
2025-02-05,21133400802862502051506,1830455,KS BAGUETTE,,,4.99
2025-02-05,21133400802862502051506,1827786,CHPTLE RANCH,CHOP SALAD KIT,CHPTLE RANCH CHOP SALAD KIT,7.99
2025-02-05,21133400802862502051506,2534,CHERRIES,907 G / 2 LB,CHERRIES 907 G / 2 LB,9.99
2025-02-05,21133400802862502051506,1462040,KS ARG SHRMP,CA 608G US 908G 6X6 P576,KS ARG SHRMP CA 608G US 908G 6X6 P576,21.49
2025-02-05,21133400802862502051506,5623,BROCCOLI,1.36 KG / 3 LB,BROCCOLI 1.36 KG / 3 LB,6.99
2025-02-05,21133400802862502051506,34323,BEEF RIBEYE,BONELESS  USDA PRIME,BEEF RIBEYE BONELESS  USDA PRIME,22.29
2025-02-05,21133400802862502051506,1364698,KS ORG 2% MK,3/64 SL30 T33H4 P132,KS ORG 2% MK 3/64 SL30 T33H4 P132,10.47
2025-02-05,21133400802862502051506,7367,LOLLIPEPPERS,680 G / 1.5 LB,LOLLIPEPPERS 680 G / 1.5 LB,5.99
2025-02-05,21133400802862502051506,1172471,IRISH BUTTER,C15 T9H5 P675  SL90,IRISH BUTTER C15 T9H5 P675  SL90,15.49
2025-02-05,21133400802862502051506,1072687,PURE VANILLA,473ML C24 L192 P960/1152,PURE VANILLA 473ML C24 L192 P960/1152,9.99
2025-02-05,21133400802862502051506,637598,KS CAGE FREE,SL21 T20H18 P360/P300,KS CAGE FREE SL21 T20H18 P360/P300,8.49
2025-02-05,21133400802862502051506,6659,4LB HONYCRSP,,,10.99
2025-02-05,21133400802862502051506,720650,MINI CUKES,680 G / 1.5 LB,MINI CUKES 680 G / 1.5 LB,6.99
2025-02-05,21133400802862502051506,21046,TOMATO MEDLE,,,6.59
2025-02-05,21133400802862502051506,22995,ORGANIC DRUM,SADDLEPACK,ORGANIC DRUM SADDLEPACK,1.99
2025-02-05,21133400802862502051506,8370,ORG MEDITERR,2PK,ORG MEDITERR 2PK,8.99
2025-02-05,21133400802862502051506,164950,KS PEPPRCORN,WHOLE 399G C20P1080,KS PEPPRCORN WHOLE 399G C20P1080,6.69
2024-07-21,21133400700232407211056,1280655,ORG CSR KIT,,,8.99
2024-07-21,21133400700232407211056,1231917,ROJO CORN,12/32 OZ   T8H7   SL45,ROJO CORN 12/32 OZ   T8H7   SL45,8.89
2024-07-21,21133400700232407211056,1364689,KS ORG WH MK,3/64 SL30 T33H4 P132,KS ORG WH MK 3/64 SL30 T33H4 P132,11.89
2024-07-21,21133400700232407211056,6652,VIDALIA ONIO,2.27 KG / 5 LBS,VIDALIA ONIO 2.27 KG / 5 LBS,5.99
2024-07-21,21133400700232407211056,703381,CHEDDAR SLCS,T10H5  SL120,CHEDDAR SLCS T10H5  SL120,7.99
2024-07-21,21133400700232407211056,106173,CHKN SAUSAGE,12/3 LBS    9T5H    SL90,CHKN SAUSAGE 12/3 LBS    9T5H    SL90,14.99
2024-07-21,21133400700232407211056,330507,/106173,,,0
2024-07-21,21133400700232407211056,1685307,EXPO 21CT,P72,EXPO 21CT P72,15.99
2024-07-21,21133400700232407211056,332687,/1685307,,,0
2024-07-21,21133400700232407211056,421793,KS STRAWPRES,STRAWBERRY  SL270    P576,KS STRAWPRES STRAWBERRY  SL270    P576,7.99
2024-07-21,21133400700232407211056,370,ORG EVERYTHG,CHOP SALAD KIT 2PK,ORG EVERYTHG CHOP SALAD KIT 2PK,8.99
2024-07-21,21133400700232407211056,1820753,FRUITCHEERIO,P=140 SL149,FRUITCHEERIO P=140 SL149,9.79
2024-07-21,21133400700232407211056,60357,MIXED PEPPER,6-PACK,MIXED PEPPER 6-PACK,6.99
2024-07-21,21133400700232407211056,27003,STRAWBERRIES,908 G / 2 LB,STRAWBERRIES 908 G / 2 LB,4.89
2024-07-21,21133400700232407211056,6406,KSSTEAKSTRIP,C30T5H3 P450        SL300,KSSTEAKSTRIP C30T5H3 P450        SL300,10.99
2024-07-21,21133400700232407211056,568915,ORG CUCUMBER,,,5.99
2024-07-21,21133400700232407211056,21046,TOMATO MEDLE,,,6.59
2024-07-21,21133400700232407211056,1391546,BAGEL CHIPS,SCHWARTZ 425G P324 SL90,BAGEL CHIPS SCHWARTZ 425G P324 SL90,7.99
2024-07-21,21133400700232407211056,333300,/1391546,,,0
2024-07-21,21133400700232407211056,331100,POTATOES,2.27 KG / 5 LB,POTATOES 2.27 KG / 5 LB,8.29
2024-07-21,21133400700232407211056,43221,ATL COD,FILLET,ATL COD FILLET,9.99
2024-07-21,21133400700232407211056,260509,POLYO STRCHZ,10/48Z P450 T9H5     SL45,POLYO STRCHZ 10/48Z P450 T9H5     SL45,11.49
2024-07-21,21133400700232407211056,5623,BROCCOLI,1.36 KG / 3 LB,BROCCOLI 1.36 KG / 3 LB,6.99
2024-07-21,21133400700232407211056,47266,ORG BS THIGH,FRESH SADDLEPACK,ORG BS THIGH FRESH SADDLEPACK,5.99
2024-07-21,21133400700232407211056,5001,WHITE PEACH,1.81 KG / 4 LB,WHITE PEACH 1.81 KG / 4 LB,8.99
2024-07-21,21133400700232407211056,6659,4LB HONYCRSP,,,8.99
2024-07-21,21133400700232407211056,1593426,KOSHER SALT,P540 T9H5,KOSHER SALT P540 T9H5,2.89
2024-07-21,21133400700232407211056,1457557,KS BAGEL SEA,C20 LYR180,KS BAGEL SEA C20 LYR180,6.79
2024-07-21,21133400700232407211056,833684,KS TORT CHIP,P96 T32H3   SL120,KS TORT CHIP P96 T32H3   SL120,6.49
2023-01-16,21133400702072301161517,1150189,ORG SKINYPOP,T34H3 P102 SL110,ORG SKINYPOP T34H3 P102 SL110,7.49
2023-01-16,21133400702072301161517,295080,/1150189,,,0
2023-01-16,21133400702072301161517,21046,TOMATO MEDLE,,,6.69
2023-01-16,21133400702072301161517,1167213,KS ORG MANGO,1.13KG   P288,KS ORG MANGO 1.13KG   P288,17.79
2023-01-16,21133400702072301161517,1126125,PULL-UPSPLUS,BOY/GIRL P40,PULL-UPSPLUS BOY/GIRL P40,41.99
2023-01-16,21133400702072301161517,303285,FOUR CHEESE,16/2LBS SL90    T10H5,FOUR CHEESE 16/2LBS SL90    T10H5,10.49
2023-01-16,21133400702072301161517,782796,***KSWTR40PK,P48=SE   P56=PR,***KSWTR40PK P48=SE   P56=PR,4.29
2023-01-16,21133400702072301161517,1290439,KS NUTBUTTER,765G T10H6 P720,KS NUTBUTTER 765G T10H6 P720,6.99
2023-01-16,21133400702072301161517,17767,KS COFFEE,1.36K GROUND P252,KS COFFEE 1.36K GROUND P252,15.99
2023-01-16,21133400702072301161517,18600,MANDARINS,2.27 KG / 5 LBS,MANDARINS 2.27 KG / 5 LBS,6.29
2025-03-30,21133400900412503301100,816563,FISH STICKS,US 4LB CN 1.81KG T6H8,FISH STICKS US 4LB CN 1.81KG T6H8,14.99
2025-03-30,21133400900412503301100,1018249,ORG ATAULFO,,,8.99
2025-03-30,21133400900412503301100,316689,BRN RICE RMN,850G LOTUS FOODS P240,BRN RICE RMN 850G LOTUS FOODS P240,8.99
2025-03-30,21133400900412503301100,7367,LOLLIPEPPERS,680 G / 1.5 LB,LOLLIPEPPERS 680 G / 1.5 LB,5.99
2025-03-30,21133400900412503301100,21046,TOMATO MEDLE,,,6.59
2025-03-30,21133400900412503301100,1830455,KS BAGUETTE,,,4.99
2025-03-30,21133400900412503301100,720650,MINI CUKES,680 G / 1.5 LB,MINI CUKES 680 G / 1.5 LB,5.99
2025-03-30,21133400900412503301100,1267000,KS SALMON,SL30 CHILEAN SLMN 10X5,KS SALMON SL30 CHILEAN SLMN 10X5,22.99
2025-03-30,21133400900412503301100,1199652,BUTER CROISS,,,5.99
2025-03-30,21133400900412503301100,96716,ORG SPINACH,453 G / 16 OZ,ORG SPINACH 453 G / 16 OZ,4.49
2025-03-30,21133400900412503301100,2585,HYDRO STRAW,2LB / 907 G,HYDRO STRAW 2LB / 907 G,8.99
2025-03-30,21133400900412503301100,381,UBER FY24,,,79.99
2025-03-30,21133400900412503301100,19452,ORG CHKTENDR,TENDERLOIN SADDLEPACK,ORG CHKTENDR TENDERLOIN SADDLEPACK,5.99
2025-03-30,21133400900412503301100,351533,/19452,,,0
2025-03-30,21133400900412503301100,9820887,KS CHS PIZZA,P108 6TX3H,KS CHS PIZZA P108 6TX3H,11.79
2025-03-30,21133400900412503301100,6659,4LB HONYCRSP,,,10.99
2025-03-30,21133400900412503301100,1280655,ORG CSR KIT,,,8.99
2025-03-30,21133400900412503301100,2619,ORG BANANAS,3 LB / 1.36 KG,ORG BANANAS 3 LB / 1.36 KG,2.19
2025-03-30,21133400900412503301100,1710454,KEW MAYO,T10H5  SL 270  P800,KEW MAYO T10H5  SL 270  P800,6.49
2023-12-10,21133400400452312101055,1266604,647 ITALIAN,LOW CARB BREAD,647 ITALIAN LOW CARB BREAD,6.99
2023-12-10,21133400400452312101055,27003,STRAWBERRIES,908 G / 2 LB,STRAWBERRIES 908 G / 2 LB,7.99
2023-12-10,21133400400452312101055,782796,***KSWTR40PK,P48=SE   P56=PR,***KSWTR40PK P48=SE   P56=PR,3.99
2023-12-10,21133400400452312101055,568915,ORG CUCUMBER,,,5.99
2023-12-10,21133400400452312101055,48600,TURKEY,1.75 RW    T10H4    SL50,TURKEY 1.75 RW    T10H4    SL50,7.99
2023-12-10,21133400400452312101055,1487910,CRANJALAMEAT,12/46 OZ  6T6H  SL32,CRANJALAMEAT 12/46 OZ  6T6H  SL32,14.89
2023-12-10,21133400400452312101055,8789,PINEAPPLE,EACH,PINEAPPLE EACH,2.99
2023-12-10,21133400400452312101055,2619,ORG BANANAS,3 LB / 1.36 KG,ORG BANANAS 3 LB / 1.36 KG,1.99
2023-12-10,21133400400452312101055,60357,MIXED PEPPER,6-PACK,MIXED PEPPER 6-PACK,7.49
2023-12-10,21133400400452312101055,8370,ORG MEDITERR,2PK,ORG MEDITERR 2PK,8.99
2023-12-10,21133400400452312101055,1364689,KS ORG WH MK,3/64 SL30 T33H4 P132,KS ORG WH MK 3/64 SL30 T33H4 P132,11.99
2023-12-10,21133400400452312101055,6659,4LB HONYCRSP,,,5.99
2023-12-10,21133400400452312101055,703381,CHEDDAR SLCS,T10H5  SL120,CHEDDAR SLCS T10H5  SL120,7.99
2023-12-10,21133400400452312101055,21046,TOMATO MEDLE,,,6.59
2023-12-10,21133400400452312101055,18600,MANDARINS,2.27 KG / 5 LBS,MANDARINS 2.27 KG / 5 LBS,7.99
2023-08-13,21133400803532308131521,1300658,KS SCENT BAG,SCENTED 200CT P120,KS SCENT BAG SCENTED 200CT P120,16.99
2023-08-13,21133400803532308131521,1434832,CANDY GRAPE,ORG RED CANDY SNAP GRAPE,CANDY GRAPE ORG RED CANDY SNAP GRAPE,7.99
2023-08-13,21133400803532308131521,1364689,KS ORG WH MK,3/64 SL30 T33H4 P132,KS ORG WH MK 3/64 SL30 T33H4 P132,12.49
2023-08-13,21133400803532308131521,331100,POTATOES,2.27 KG / 5 LB,POTATOES 2.27 KG / 5 LB,8.29
2023-08-13,21133400803532308131521,1311586,2PK ALOE,"5"" CERAMIC POT","2PK ALOE 5"" CERAMIC POT",9.99
2023-08-13,21133400803532308131521,21046,TOMATO MEDLE,,,6.59
2023-08-13,21133400803532308131521,45694,BAGUETTE,2 PACK,BAGUETTE 2 PACK,5.99
2023-08-13,21133400803532308131521,1142830,ORG MEDITERR,,,8.49
2023-08-13,21133400803532308131521,3732,CRMYDILLPCKL,2 PACK,CRMYDILLPCKL 2 PACK,7.99
2023-08-13,21133400803532308131521,1267000,KS SALMON,SL30 CHILEAN SLMN 10X5,KS SALMON SL30 CHILEAN SLMN 10X5,23.99
2023-08-13,21133400803532308131521,1125156,ORG LATE JUL,MULTIGRN TORT CHIPS P144,ORG LATE JUL MULTIGRN TORT CHIPS P144,8.69
2023-08-13,21133400803532308131521,647465,AVOCADOS,6 COUNT,AVOCADOS 6 COUNT,6.29
2023-08-13,21133400803532308131521,782796,***KSWTR40PK,P48=SE   P56=PR,***KSWTR40PK P48=SE   P56=PR,3.99
2023-08-13,21133400803532308131521,568915,ORG CUCUMBER,,,5.99
2023-08-13,21133400803532308131521,2619,ORG BANANAS,3 LB / 1.36 KG,ORG BANANAS 3 LB / 1.36 KG,1.99
2022-06-26,21133401000612206261140,1121472,HVY DTY SPNG,SCOTCH BRITE  T4H5 P320,HVY DTY SPNG SCOTCH BRITE  T4H5 P320,14.49
